
> quant-paper-trading-nodejs@0.2.0 start
> node src/index.js

[HTTP] server listening on http://localhost:3088
[EMAPI] page=20 rows=100 kept=45 total=883
[EMAPI] page=21 rows=100 kept=36 total=918
[EMAPI] page=22 rows=100 kept=41 total=957
[EMAPI] page=23 rows=100 kept=44 total=999
[EMAPI] page=24 rows=100 kept=32 total=1029
[EMAPI] page=25 rows=100 kept=34 total=1058
[SCAN] round=9 market=1058 picks=4 ts=2026-03-23T06:05:03.518Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=41 total=85
[EMAPI] page=3 rows=100 kept=48 total=133
[EMAPI] page=4 rows=100 kept=37 total=170
[EMAPI] page=5 rows=100 kept=43 total=213
[EMAPI] page=6 rows=100 kept=43 total=256
[EMAPI] page=7 rows=100 kept=42 total=298
[EMAPI] page=8 rows=100 kept=46 total=344
[EMAPI] page=9 rows=100 kept=51 total=395
[EMAPI] page=10 rows=100 kept=49 total=444
[EMAPI] page=11 rows=100 kept=42 total=486
[EMAPI] page=12 rows=100 kept=51 total=536
[EMAPI] page=13 rows=100 kept=47 total=580
[EMAPI] page=14 rows=100 kept=49 total=626
[EMAPI] page=15 rows=100 kept=49 total=673
[EMAPI] page=16 rows=100 kept=43 total=716
[EMAPI] page=17 rows=100 kept=53 total=766
[EMAPI] page=18 rows=100 kept=44 total=807
[EMAPI] page=19 rows=100 kept=47 total=850
[EMAPI] page=20 rows=100 kept=36 total=885
[EMAPI] page=21 rows=100 kept=40 total=923
[EMAPI] page=22 rows=100 kept=39 total=962
[EMAPI] page=23 rows=100 kept=45 total=1004
[EMAPI] page=24 rows=100 kept=36 total=1038
[EMAPI] page=25 rows=100 kept=31 total=1069
[SCAN] round=10 market=1069 picks=4 ts=2026-03-23T06:06:01.751Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=41 total=84
[EMAPI] page=3 rows=100 kept=47 total=130
[EMAPI] page=4 rows=100 kept=40 total=170
[EMAPI] page=5 rows=100 kept=43 total=212
[EMAPI] page=6 rows=100 kept=44 total=256
[EMAPI] page=7 rows=100 kept=41 total=297
[EMAPI] page=8 rows=100 kept=44 total=341
[EMAPI] page=9 rows=100 kept=53 total=393
[EMAPI] page=10 rows=100 kept=50 total=441
[EMAPI] page=11 rows=100 kept=46 total=484
[EMAPI] page=12 rows=100 kept=47 total=529
[EMAPI] page=13 rows=100 kept=48 total=576
[EMAPI] page=14 rows=100 kept=50 total=625
[EMAPI] page=15 rows=100 kept=46 total=664
[EMAPI] page=16 rows=100 kept=44 total=706
[EMAPI] page=17 rows=100 kept=53 total=759
[EMAPI] page=18 rows=100 kept=43 total=802
[EMAPI] page=19 rows=100 kept=45 total=844
[EMAPI] page=20 rows=100 kept=45 total=886
[EMAPI] page=21 rows=100 kept=40 total=925
[EMAPI] page=22 rows=100 kept=42 total=964
[EMAPI] page=23 rows=100 kept=44 total=1007
[EMAPI] page=24 rows=100 kept=27 total=1029
[EMAPI] page=25 rows=100 kept=38 total=1065
[SCAN] round=11 market=1065 picks=4 ts=2026-03-23T06:07:02.211Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=42 total=86
[EMAPI] page=3 rows=100 kept=44 total=128
[EMAPI] page=4 rows=100 kept=44 total=172
[EMAPI] page=5 rows=100 kept=43 total=215
[EMAPI] page=6 rows=100 kept=43 total=257
[EMAPI] page=7 rows=100 kept=46 total=303
[EMAPI] page=8 rows=100 kept=42 total=345
[EMAPI] page=9 rows=100 kept=50 total=394
[EMAPI] page=10 rows=100 kept=48 total=441
[EMAPI] page=11 rows=100 kept=47 total=487
[EMAPI] page=12 rows=100 kept=48 total=532
[EMAPI] page=13 rows=100 kept=49 total=578
[EMAPI] page=14 rows=100 kept=48 total=623
[EMAPI] page=15 rows=100 kept=51 total=669
[EMAPI] page=16 rows=100 kept=43 total=710
[EMAPI] page=17 rows=100 kept=47 total=755
[EMAPI] page=18 rows=100 kept=47 total=801
[EMAPI] page=19 rows=100 kept=43 total=843
[EMAPI] page=20 rows=100 kept=44 total=884
[EMAPI] page=21 rows=100 kept=40 total=921
[EMAPI] page=22 rows=100 kept=48 total=969
[EMAPI] page=23 rows=100 kept=37 total=1004
[EMAPI] page=24 rows=100 kept=29 total=1029
[EMAPI] page=25 rows=100 kept=41 total=1065
[SCAN] round=12 market=1065 picks=4 ts=2026-03-23T06:08:02.453Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=40 total=84
[EMAPI] page=3 rows=100 kept=47 total=131
[EMAPI] page=4 rows=100 kept=43 total=174
[EMAPI] page=5 rows=100 kept=43 total=215
[EMAPI] page=6 rows=100 kept=43 total=257
[EMAPI] page=7 rows=100 kept=42 total=298
[EMAPI] page=8 rows=100 kept=47 total=345
[EMAPI] page=9 rows=100 kept=50 total=393
[EMAPI] page=10 rows=100 kept=47 total=439
[EMAPI] page=11 rows=100 kept=46 total=484
[EMAPI] page=12 rows=100 kept=48 total=531
[EMAPI] page=13 rows=100 kept=51 total=582
[EMAPI] page=14 rows=100 kept=46 total=628
[EMAPI] page=15 rows=100 kept=46 total=671
[EMAPI] page=16 rows=100 kept=43 total=712
[EMAPI] page=17 rows=100 kept=53 total=762
[EMAPI] page=18 rows=100 kept=46 total=808
[EMAPI] page=19 rows=100 kept=38 total=844
[EMAPI] page=20 rows=100 kept=48 total=888
[EMAPI] page=21 rows=100 kept=37 total=925
[EMAPI] page=22 rows=100 kept=43 total=967
[EMAPI] page=23 rows=100 kept=30 total=997
[EMAPI] page=24 rows=100 kept=34 total=1030
[EMAPI] page=25 rows=100 kept=42 total=1068
[SCAN] round=13 market=1068 picks=4 ts=2026-03-23T06:09:03.612Z
[EMAPI] page=1 rows=100 kept=45 total=45
[EMAPI] page=2 rows=100 kept=38 total=83
[EMAPI] page=3 rows=100 kept=46 total=129
[EMAPI] page=4 rows=100 kept=44 total=173
[EMAPI] page=5 rows=100 kept=42 total=215
[EMAPI] page=6 rows=100 kept=42 total=255
[EMAPI] page=7 rows=100 kept=44 total=299
[EMAPI] page=8 rows=100 kept=44 total=342
[EMAPI] page=9 rows=100 kept=53 total=395
[EMAPI] page=10 rows=100 kept=43 total=435
[EMAPI] page=11 rows=100 kept=46 total=480
[EMAPI] page=12 rows=100 kept=45 total=522
[EMAPI] page=13 rows=100 kept=57 total=575
[EMAPI] page=14 rows=100 kept=49 total=623
[EMAPI] page=15 rows=100 kept=45 total=665
[EMAPI] page=16 rows=100 kept=35 total=698
[EMAPI] page=17 rows=100 kept=54 total=750
[EMAPI] page=18 rows=100 kept=47 total=796
[EMAPI] page=19 rows=100 kept=41 total=832
[EMAPI] page=20 rows=100 kept=47 total=874
[EMAPI] page=21 rows=100 kept=37 total=910
[EMAPI] page=22 rows=100 kept=47 total=954
[EMAPI] page=23 rows=100 kept=32 total=984
[EMAPI] page=24 rows=100 kept=36 total=1019
[EMAPI] page=25 rows=100 kept=34 total=1051
[SCAN] round=14 market=1051 picks=4 ts=2026-03-23T06:10:01.720Z
[EMAPI] page=1 rows=100 kept=45 total=45
[EMAPI] page=2 rows=100 kept=40 total=84
[EMAPI] page=3 rows=100 kept=42 total=126
[EMAPI] page=4 rows=100 kept=42 total=168
[EMAPI] page=5 rows=100 kept=45 total=212
[EMAPI] page=6 rows=100 kept=42 total=254
[EMAPI] page=7 rows=100 kept=41 total=295
[EMAPI] page=8 rows=100 kept=52 total=346
[EMAPI] page=9 rows=100 kept=53 total=397
[EMAPI] page=10 rows=100 kept=46 total=441
[EMAPI] page=11 rows=100 kept=41 total=480
[EMAPI] page=12 rows=100 kept=48 total=526
[EMAPI] page=13 rows=100 kept=51 total=575
[EMAPI] page=14 rows=100 kept=47 total=619
[EMAPI] page=15 rows=100 kept=48 total=661
[EMAPI] page=16 rows=100 kept=50 total=707
[EMAPI] page=17 rows=100 kept=42 total=747
[EMAPI] page=18 rows=100 kept=50 total=794
[EMAPI] page=19 rows=100 kept=48 total=839
[EMAPI] page=20 rows=100 kept=40 total=875
[EMAPI] page=21 rows=100 kept=42 total=915
[EMAPI] page=22 rows=100 kept=36 total=948
[EMAPI] page=23 rows=100 kept=35 total=981
[EMAPI] page=24 rows=100 kept=35 total=1016
[EMAPI] page=25 rows=100 kept=33 total=1047
[SCAN] round=15 market=1047 picks=4 ts=2026-03-23T06:11:07.696Z
[EMAPI] page=1 rows=100 kept=46 total=46
[EMAPI] page=2 rows=100 kept=39 total=85
[EMAPI] page=3 rows=100 kept=40 total=125
[EMAPI] page=4 rows=100 kept=47 total=171
[EMAPI] page=5 rows=100 kept=47 total=216
[EMAPI] page=6 rows=100 kept=44 total=260
[EMAPI] page=7 rows=100 kept=43 total=302
[EMAPI] page=8 rows=100 kept=41 total=341
[EMAPI] page=9 rows=100 kept=52 total=389
[EMAPI] page=10 rows=100 kept=47 total=434
[EMAPI] page=11 rows=100 kept=45 total=479
[EMAPI] page=12 rows=100 kept=50 total=529
[EMAPI] page=13 rows=100 kept=53 total=582
[EMAPI] page=14 rows=100 kept=54 total=635
[EMAPI] page=15 rows=100 kept=43 total=674
[EMAPI] page=16 rows=100 kept=44 total=715
[EMAPI] page=17 rows=100 kept=48 total=763
[EMAPI] page=18 rows=100 kept=45 total=806
[EMAPI] page=19 rows=100 kept=50 total=849
[EMAPI] page=20 rows=100 kept=43 total=889
[EMAPI] page=21 rows=100 kept=38 total=924
[EMAPI] page=22 rows=100 kept=32 total=955
[EMAPI] page=23 rows=100 kept=40 total=992
[EMAPI] page=24 rows=100 kept=32 total=1024
[EMAPI] page=25 rows=100 kept=38 total=1059
[SCAN] round=16 market=1059 picks=4 ts=2026-03-23T06:12:03.690Z
[EMAPI] page=1 rows=100 kept=46 total=46
[EMAPI] page=2 rows=100 kept=37 total=83
[EMAPI] page=3 rows=100 kept=46 total=128
[EMAPI] page=4 rows=100 kept=45 total=172
[EMAPI] page=5 rows=100 kept=49 total=221
[EMAPI] page=6 rows=100 kept=42 total=263
[EMAPI] page=7 rows=100 kept=39 total=302
[EMAPI] page=8 rows=100 kept=43 total=345
[EMAPI] page=9 rows=100 kept=51 total=395
[EMAPI] page=10 rows=100 kept=48 total=442
[EMAPI] page=11 rows=100 kept=50 total=490
[EMAPI] page=12 rows=100 kept=46 total=535
[EMAPI] page=13 rows=100 kept=50 total=584
[EMAPI] page=14 rows=100 kept=52 total=635
[EMAPI] page=15 rows=100 kept=46 total=680
[EMAPI] page=16 rows=100 kept=52 total=730
[EMAPI] page=17 rows=100 kept=46 total=775
[EMAPI] page=18 rows=100 kept=49 total=821
[EMAPI] page=19 rows=100 kept=41 total=862
[EMAPI] page=20 rows=100 kept=45 total=906
